dr_no,date_occ,neighborhood,new_category,crime_type_id,neighborhood_id
180917918,2018-09-21,van-nuys,theft,0,0
181016144,2018-09-21,encino,theft,0,1
181601232,2018-09-21,pacoima,theft,0,2
180124366,2018-09-21,downtown,theft,0,3
181716528,2018-09-21,granada-hills,theft,0,4
181518327,2018-09-21,valley-village,theft,0,5
181614407,2018-09-21,sun-valley,theft,0,6
181319593,2018-09-21,historic-south-central,theft,0,7
180125127,2018-09-21,downtown,theft,0,3
181421028,2018-09-21,westchester,theft,0,8
181223310,2018-09-21,hyde-park,theft,0,9
180218520,2018-09-04,westlake,theft,0,10
181614439,2018-09-21,sun-valley,theft,0,6
181716637,2018-09-21,northridge,theft,0,11
180620815,2018-09-21,hollywood-hills,theft,0,12
181116866,2018-09-21,cypress-park,theft,0,13
181016243,2018-09-21,encino,theft,0,1
181209256,2018-03-12,hyde-park,theft,0,9
180309247,2018-03-13,adams-normandie,theft,0,14
181708309,2018-03-29,northridge,theft,0,11
180620622,2018-09-21,hollywood,theft,0,15
180620907,2018-09-21,hollywood,theft,0,15
181614447,2018-09-21,pacoima,theft,0,2
182116661,2018-09-21,west-hills,theft,0,16
181716532,2018-09-21,porter-ranch,theft,0,17
181319617,2018-09-22,downtown,theft,0,3
180717494,2018-09-22,mid-wilshire,theft,0,18
181319675,2018-09-22,historic-south-central,theft,0,7
181716627,2018-09-22,northridge,theft,0,11
180620675,2018-09-22,hollywood,theft,0,15
182017905,2018-09-22,pico-union,theft,0,19
181420867,2018-09-22,venice,theft,0,20
180918705,2018-09-22,van-nuys,theft,0,0
180717520,2018-09-22,hancock-park,theft,0,21
180816732,2018-09-22,sawtelle,theft,0,22
182017672,2018-09-22,pico-union,theft,0,19
180717043,2018-09-22,mid-wilshire,theft,0,18
182017853,2018-09-22,westlake,theft,0,10
180516277,2018-09-22,san-pedro,theft,0,23
181918114,2018-09-22,sylmar,theft,0,24
181504666,2018-01-13,north-hollywood,theft,0,25
